"NOMBRE DEL ATM";"CAMBIOS BASE";"SITE DIEBOLD";"COD DEL CAJERO";"DIRECCION DEL ATM";"TERRITORIAL";"ZONA";"CAJEROS VIP";"CIUDAD";"Código Municipal DANE";"Nombre del  Departamento";"CODIGO DE LA OFICINA";"NOMBRE DE   LA OFICINA";"DIRECCION DE LA OFICINA";"TELEFONO DE LA OFICINA";"PROVEEDOR DE MONITOREO";"MARCA";"MODELO";"TIPO DE PROCESADOR DIEBOLD";"SERIAL  Wincor   Diebold ";"CODIGO DE ACTIVO FIJO";"CARGA";"NIVEL DE PROVISION";"UBICACIÓN ESPECIFICA";"SITE TOPPER";"SEGMENTO";"TIPO DE UBICACIÓN";"TRANSACCIONALIDAD L V";"TRANSACCIONALIDAD FINES DE SEMANA";"PROTECTOR DE TECLADO";"FECHA DE MAQUINA";"FECHA DE ENTRADA EN PRODUCCION EN EL PUNTO";"AÑOS DE LOS CAJEROS";"FECHA DE ENTREGA DE MAQUINA A PUNTO";"TIPO DE ENLACE";"MEDIO PRINCIPAL";"MEDIO DE CONTINGENCIA";"IP";"Gateway";"MASCARA DE RED";"MODULO TELDAT";"PROVEEDOR COMUNICACIONES";"PU";"IDNUM";"DEPOSITARIOS ACTIVOS EFECTIVO";"DEPOSITARIOS ACTIVOS CHEQUE";"TRANSPORTADORA";"CLASIFICACION TDV";"FONDO DE EFECTIVO";"RUTA NOCTURNA";"PRIMER NIVEL";"SEGUNDO NIVEL";"Días de Aseo COLVAPOR";"Fecha Cargue RKL 1";"CUPO DEPOSITARIO";"Nro  Gavetas";"TIPO DE BILLETE";"CUPO AUTORIZADO";"GAVETA 1";"GAVETA 2";"GAVETA 3";"GAVETA 4";"GAVETA 5";"BILLETES DE 50 000   20 000";"BILLETES DE 50 000   20 000   10 000";"ANTISKIMING";"CONFIGURACION ATM";"DIAS DE SERVICIO";"HORARIO DE APERTURA";"HORARIO  DE CIERRE";"HORARIO DE SERVICIO";"METODO CIERRE CONSOLA";"LLAVES";"LLAVE DE SEGURIDAD";"LLAVES SITE 1";"LLAVES SITE 2";"MARCA UPS";"CAPACIDAD UPS";"Medio";"MONITOREO DE ALARMAS";"Proveedor de Vigilancia";"APOYO AL NEGOCIO";"CELULAR";"GERENTE PROMOTOR TRANSACCIONAL";"CONTACTO EN EL PUNTO";"NOMBRE";"TELEFONO";"DIRECCION O CORREO";"GERENTE";"CORREO";"CEL";"SUBGERENTE";"CORREO2";"CEL__1";"CORREO OFICINA";"PAGO DE NOMINAS";"INGRESO TDV";"INGRESO PROVEEDORES";"ANTELACIÓN PARA TRAMITAR PERMISOS";"OBSERVACIONES PARA TRAMITES DE PERMISOS";"ENVIO DATOS DE PROOVEDORES";"FECHA DEL ULTIMO ENVIO";"INGRESO PROVEEDORES DIAS";"INGRESO PROVEEDORES HORAS";"ENVIO DE CORREO";"ANTELACION PARA TRAMITAR PERMISOS";"MULTIVENDOR";"zipcode";"lat";"lon";"total_otros_ATMs"
"Unicentro Girardot";NA;"1412";1554;"Carrera 7a#33-77 CC Unicentro Girardot-Local 2-52  ";"CENTRO";"Centro Occidente";"N/A";"GIRARDOT";"25 - 307";"Cundinamarca";389;"GIRARDOT";"Carrera 10 Calle 17 Esquina";"(091) 8332121-8334223";"DIEBOLD";"DIEBOLD";"Opteva 522 Cen 4";"Canyon";"1522FH115346";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial";"PENDIENTE";"CENTRO COMERCIAL";"SAT";"MEDIA";"MEDIA";"SI";"13/08/2015";"14/11/2015";4;"42280";"INDEPENDIENTE";"SATELITE";"3G";"81.128.136.130";"81.128.136.129";"255.255.255.240";"NO APLICA";"LEVEL3";"ATC";"389C";"N/A";"N/A";"BRINKS";"INTERURBANO";"GIRARDOT";"NO";"DIEBOLD";"DIEBOLD";"LUNES  A DOMINGO";"42307";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"24 HORAS";"N/A";"DIEBOLD - TRANSPORTADORA";NA;NA;NA;"APEL";"1.5 KVA";"ETH";"CGA";"SECURITAS";"mary.bravo@bbva.com";3182899379;"JAIME ANDRES CUELLAR (Zona Centro Oriente y Antiplano)
NELLY QUINTERO SÁNCHEZ (Zona Santanderes y Centro Occidente)";"RECEPCIÓN";"Angelica Gutierrez/ Jorge Fierro";"091-8888478-301 577 3097 – 320 848 8398-3118403386,";"gerencia@unicentrogirardot.com-recepcion@unicentrogirardot.com-asisadministrativa@unicentrogirardot.com-asisgerencia@unicentrogirardot.com";"ROSSMERY RAMOS CIFUENTES";"ross.ramos@bbva.com";"317 538 7111";"OLGA LUCIA MARTIN TORRES";"olga.martin@bbva.com";"317 401 4776";"GIRAR389.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"24 HORAS";"UN DIA";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"Activo";NA;4,3078836;-74,7976822;3
"Unicentro Occidente 1";NA;"477";489;"CRA 111C N 86-74 L 105";"BOGOTÁ";"Bogota Occidente";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";21;"UNICENTRO OCCIDENTE";"Carrera 111 C No. 86-74 L 105";"4313302-4313344";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100041";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"MEDIA";"ALTA";"SI";"30/09/2016";"24/05/2017";2;"42875";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.162";"81.128.40.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"0L2";"212";"N/A";"N/A";"BRINKS";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40953";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"VISE";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;"POWERTRON";"6 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"ENCARGADO";NA;"4348801 ext 113";"operaciones@unicentrodeoccidente.com-solicitudes@unicentrodeoccidente.com";"Vacante";"Vacante";"3175175208-3103210708";"SANDRA ACOSTA";"sandrayanet.acosta@bbva.com";"3164472959";"UNIOC021.co@bbva.com";NA;"LUNES A DOMINGO 6:00 A 21:00";"SIN RESTRICCION";"24 HORAS";"UN DÍA,enviar soportes de afiliación o planillas de seguridad social vigentes, cursos de alturas (si deben hacer una tarea que contenga trabajo en alturas) esto para realizar su respectiva verificación y así poder dar autorización a la labor. Enviar Parafiscales";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"Activo";"111011";4,7242057;-74,1133547;9
"Unicentro Occidente 2";NA;"477";490;"CRA 111C N 86-74 L 105";"BOGOTÁ";"Bogota Occidente";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";21;"UNICENTRO OCCIDENTE";"Carrera 111 C No. 86-74 L 105";"4313302-4313344";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550WH100042";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"30/09/2016";"24/05/2017";2;"42875";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.163";"81.128.40.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"0L3";"213";"N/A";"N/A";"BRINKS";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40953";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"VISE";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;"POWERTRON";"6 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"ENCARGADO";NA;"4348801 ext 113";"operaciones@unicentrodeoccidente.com-solicitudes@unicentrodeoccidente.com";"Vacante";"Vacante";"3175175208-3103210708";"SANDRA ACOSTA";"sandrayanet.acosta@bbva.com";"4313344 ext 41851.";"UNIOC021.co@bbva.com";NA;"LUNES A DOMINGO 6:00:00-21:00:00";"SIN RESTRICCION";"24 HORAS";"UN DÍA,enviar soportes de afiliación o planillas de seguridad social vigentes, cursos de alturas (si deben hacer una tarea que contenga trabajo en alturas) esto para realizar su respectiva verificación y así poder dar autorización a la labor. Enviar Parafiscales";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"Activo";"111011";4,7242057;-74,1133547;9
"Unicentro Occidente 3";NA;"477";21;"CRA 111C N 86-74 L 105";"BOGOTÁ";"Bogota Occidente";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";21;"UNICENTRO OCCIDENTE";"Carrera 111 C No. 86-74 L 105";"4313302-4313344";"DIEBOLD";"DIEBOLD";"OPTEVA 720  FULL FUNCTION";"Denver";"1720VH101567";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"MEDIA";"ALTA";"SI";"09/12/2008";"09/11/2010";10;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.164";"81.128.40.161";"255.255.255.240";"NO APLICA";"TELEFONICA";"0L6";"216";"ACTIVO";"ACTIVO";"BRINKS";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40906";"100000000";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE1";"L - D";"0.25";"0.91666666666666663";"16 HORAS (6:00 AM - 10:00 PM)";"VISE";"DIEBOLD - TRANSPORTADORA";"MEDECO";NA;NA;NA;NA;"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"ENCARGADO";NA;"4348801 ext 113";"operaciones@unicentrodeoccidente.com-solicitudes@unicentrodeoccidente.com";"Vacante";"Vacante";"3175175208-3103210708";"SANDRA ACOSTA";"sandrayanet.acosta@bbva.com";"3164472959";"UNIOC021.co@bbva.com";NA;"LUNES A DOMINGO 6:00:00-21:00:00";"SIN RESTRICCION";"24 HORAS";"UN DÍA,enviar soportes de afiliación o planillas de seguridad social vigentes, cursos de alturas (si deben hacer una tarea que contenga trabajo en alturas) esto para realizar su respectiva verificación y así poder dar autorización a la labor. Enviar Parafiscales  envia rcorreo lunes a viernes de 9 a.m. a 5 p.m. y los sábados de 9 a.m. a 1 p.m.";"CORREO BANCO";"N/A";"Dom - Dom";"06:00 - 23:00";"SI";"24 HORAS";"N/A";"111011";4,7242057;-74,1133547;9
"Unicentro Pasto I";NA;"365";827;" Av Panamericana Calle 11  CC. Unicentro Local 247 Segundo Piso.";"OCCIDENTE";"Pacifico Sur";"VIP";"PASTO";"52 - 001";"Nariño";568;"UNICENTRO PASTO";"CL 19 # 26-16";"(092) 7291920-7335572-7292202-7236173";"DIEBOLD";"DIEBOLD";"OPTEVA 720  FULL FUNCTION";"Sierra";"1720VH101634";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"14/11/2010";"02/12/2010";8;"N/A";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.82.98";"81.128.82.97";"255.255.255.240";"NO APLICA";"TELEFONICA";"FS1";"5681";"ACTIVO";"NO ACTIVO";"BRINKS";"URBANO";"PASTO";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40911";"50000000";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"POWERTRON";"6 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899443;"MELINA RUSI";"OFICINA";"0";"0";"0";"MARIA JOSE BERNAL RUIZ";"mariajose.bernal@bbva.com";"317 4010978";"ADRIANA CAICEDO GARCIA";"adriana.caicedo@bbva.com";"316 4620241";"pastc568.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"N/A";"NO SE NECESITA";"N/A";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";NA;1,2165533;-77,2885758;10
"Unicentro Pasto II";NA;"365";828;" Av Panamericana Calle 11  CC. Unicentro Local 247 Segundo Piso.";"OCCIDENTE";"Pacifico Sur";"N/A";"PASTO";"52 - 001";"Nariño";568;"UNICENTRO PASTO";"CL 19 # 26-16";"(092) 7291920-7335572-7292202-7236173";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CH100122";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"30/09/2016";"21/07/2017";2;"42934";"COMPARTIDO";"FIBRA";"FIBRA";"81.128.82.99";"81.128.82.97";"255.255.255.240";"NO APLICA";"TELEFONICA";"FS2";"5682";"N/A";"N/A";"BRINKS";"URBANO";"PASTO";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"42937";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"POWERTRON";"6 KVA";"ETH";"CGA";"SECURITAS";"yaneth.rueda@bbva.com";3182899443;"MELINA RUSI";"OFICINA";"0";"0";"0";"MARIA JOSE BERNAL RUIZ";"mariajose.bernal@bbva.com";"317 4010978";"ADRIANA CAICEDO GARCIA";"adriana.caicedo@bbva.com";"316 4620241";"pastc568.co@bbva.com";NA;"SIN RESTRICCION";"LUNES A DOMINGO DE 9:00 A 19:00";"N/A";"N/A";"NO SE NECESITA";"N/A";"Dom - Dom";"09:00 - 19:00";"NO";"SIN ANTELACION";"Activo";NA;1,2165533;-77,2885758;10
"Unicentro Primer Piso I";NA;"476";481;"AV  15 N 123-30 L1-136";"BOGOTÁ";"Bogotá Norte";"VIP";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";19;"UNICENTRO - GH";"Avenida 15 No. 123-30 L  1.136";"2143165-47-40";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00166";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"07/09/2018";"01/10/2018";0;"43368";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.130";"81.128.40.129";"255.255.255.240";"NO APLICA";"TELEFONICA";"0J1";"191";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43372";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DIE2";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"10 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"Arquitecta";"Amanda Casas-
KAREN SILVA";"1- 6580480 ext 125- 3183384606";"acasas@unicentrobogota.com-ksilva@unicentro.com";"
Zoraya Guzman Piñeros";"zoraya.guzman@bbva.com";"0";"Diego Zabala";"diego.zabala@bbva.com";"3174013816";"UNICE019.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"SE DEBE ADJUNTAR CON EL ENVIO DE LA CARPETA  UNA CARTA INDICANDO QUE LOS TECNICOS RELACIONADOS ALLÍ ESTAN AUTORIZADOS PARA QUE TRABAJEN LAS 24 HORAS DEL DIA, ESPECIFICANDO EL LOCAL DE LOS CAJEROS.ADICIONAL CUALQUIER CORREO SE DEBE REMITIR DESDE EL BUZON DE CAJEROS, INCLUYENDO LA CARPETA.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"N/A";"110111";4,701949;-74,04137;17
"Unicentro Primer Piso III";NA;"476";483;"AV  15 N 123-30 L1-136";"BOGOTÁ";"Bogotá Norte";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";19;"UNICENTRO - GH";"Avenida 15 No. 123-30 L  1.136";"2143165-47-40";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00174";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"MEDIA";"ALTA";"SI";"07/09/2018";"02/10/2018";0;"43368";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.132";"81.128.40.129";"255.255.255.240";"NO APLICA";"TELEFONICA";"0J3";"193";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43375";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"10 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"Arquitecta";"Amanda Casas-
KAREN SILVA";"1- 6580480 ext 125- 3183384606";"acasas@unicentrobogota.com-ksilva@unicentro.com";"
Zoraya Guzman Piñeros";"zoraya.guzman@bbva.com";"0";"Diego Zabala";"diego.zabala@bbva.com";"3174013816";"UNICE019.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"SE DEBE ADJUNTAR CON EL ENVIO DE LA CARPETA  UNA CARTA INDICANDO QUE LOS TECNICOS RELACIONADOS ALLÍ ESTAN AUTORIZADOS PARA QUE TRABAJEN LAS 24 HORAS DEL DIA, ESPECIFICANDO EL LOCAL DE LOS CAJEROS.ADICIONAL CUALQUIER CORREO SE DEBE REMITIR DESDE EL BUZON DE CAJEROS, INCLUYENDO LA CARPETA.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"110111";4,701949;-74,04137;17
"Unicentro Primer Piso IV";NA;"476";484;"AV 15 N 123-30 L1-136";"BOGOTÁ";"Bogotá Norte";"N/A";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";19;"UNICENTRO - GH";"Avenida 15 No. 123-30 L  1.136";"2143165-47-40";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00175";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"MEDIA";"ALTA";"SI";"07/09/2018";"02/10/2018";0;"43368";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.133";"81.128.40.129";"255.255.255.240";"NO APLICA";"TELEFONICA";"0J4";"194";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43375";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"10 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"Arquitecta";"Amanda Casas-
KAREN SILVA";"1- 6580480 ext 125- 3183384606";"acasas@unicentrobogota.com-ksilva@unicentro.com";"
Zoraya Guzman Piñeros";"zoraya.guzman@bbva.com";"0";"Diego Zabala";"diego.zabala@bbva.com";"3174013816";"UNICE019.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"SE DEBE ADJUNTAR CON EL ENVIO DE LA CARPETA  UNA CARTA INDICANDO QUE LOS TECNICOS RELACIONADOS ALLÍ ESTAN AUTORIZADOS PARA QUE TRABAJEN LAS 24 HORAS DEL DIA, ESPECIFICANDO EL LOCAL DE LOS CAJEROS.ADICIONAL CUALQUIER CORREO SE DEBE REMITIR DESDE EL BUZON DE CAJEROS, INCLUYENDO LA CARPETA.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"110111";4,701949;-74,04137;17
"Unicentro Primero Piso II";NA;"476";482;"AV 15 N 123-30 L1-136";"BOGOTÁ";"Bogotá Norte";"VIP";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";19;"UNICENTRO - GH";"Avenida 15 No. 123-30 L  1.136";"2143165-47-40";"DIEBOLD";"DIEBOLD";"INTREPID 5550";"VoyagerHP";"5550CGR00171";"PENDIENTE";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"07/09/2018";"01/10/2018";0;"43368";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.131";"81.128.40.129";"255.255.255.240";"NO APLICA";"TELEFONICA";"0J2";"192";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"NO";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"43373";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"10 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"Arquitecta";"Amanda Casas-
KAREN SILVA";"1- 6580480 ext 125- 3183384606";"acasas@unicentrobogota.com-ksilva@unicentro.com";"
Zoraya Guzman Piñeros";"zoraya.guzman@bbva.com";"0";"Diego Zabala";"diego.zabala@bbva.com";"3174013816";"UNICE019.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"SE DEBE ADJUNTAR CON EL ENVIO DE LA CARPETA  UNA CARTA INDICANDO QUE LOS TECNICOS RELACIONADOS ALLÍ ESTAN AUTORIZADOS PARA QUE TRABAJEN LAS 24 HORAS DEL DIA, ESPECIFICANDO EL LOCAL DE LOS CAJEROS.ADICIONAL CUALQUIER CORREO SE DEBE REMITIR DESDE EL BUZON DE CAJEROS, INCLUYENDO LA CARPETA.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";"110111";4,701949;-74,04137;17
"Unicentro V";NA;"478";485;"CRA 15 NO 123-30 2 PIS 2168";"BOGOTÁ";"Bogotá Norte";"VIP";"BOGOTÁ D.C.";"11 - 001";"Bogotá, D.C.";19;"UNICENTRO - GH";"Avenida 15 No. 123-30 L  1.136";"2143165-47-40";"DIEBOLD";"DIEBOLD";"OPTEVA 760";"Canyon";"1760R3317679";"1,30E+11";"POSTERIOR";"NIVEL 7";"Centro Comercial-oficina";"PENDIENTE";"CENTRO COMERCIAL";"EO";"ALTA";"ALTA";"SI";"12/11/2009";"12/11/2009";9;"N/A";"COMPARTIDO";"FIBRA";"COBRE";"81.128.40.134";"81.128.40.129";"255.255.255.240";"NO APLICA";"TELEFONICA";"0J5";"195";"N/A";"N/A";"PROSEGUR";"URBANO";"BOGOTA";"SI";"DIEBOLD";"DIEBOLD";"SAB-DOM-FES";"40897";"N/A";4;"NUEVA FAMILIA";320000000;50000;50000;50000;20000;"N/A";"SI";"N/A";"INSTALADO";"DMV1";"L - D";"N/A";"N/A";"15 HORAS (8:00 AM - 11:59 PM)";"N/A";"DIEBOLD - TRANSPORTADORA";"N/A";NA;NA;"EXCELL POWER";"10 KVA";"ETH";"CGA";"SECURITAS";"ramiro.quijano@bbva.com";3182893993;"RICARDO BOTERO CARRILLO (Bogotá Norte)
LEONOR MIRELLA HERNANDEZ NIÑO (Bogotá Sur)";"Arquitecta";"Amanda Casas-
KAREN SILVA";"1- 6580480 ext 125- 3183384606";"acasas@unicentrobogota.com-ksilva@unicentro.com";"
Zoraya Guzman Piñeros";"zoraya.guzman@bbva.com";"0";"Diego Zabala";"diego.zabala@bbva.com";"3174013816";"UNICE019.co@bbva.com";NA;"SIN RESTRICCION";"SIN RESTRICCION";"N/A";"SE DEBE ADJUNTAR CON EL ENVIO DE LA CARPETA  UNA CARTA INDICANDO QUE LOS TECNICOS RELACIONADOS ALLÍ ESTAN AUTORIZADOS PARA QUE TRABAJEN LAS 24 HORAS DEL DIA, ESPECIFICANDO EL LOCAL DE LOS CAJEROS.ADICIONAL CUALQUIER CORREO SE DEBE REMITIR DESDE EL BUZON DE CAJEROS, INCLUYENDO LA CARPETA.";"CARPETA DIGITALIZADA";"43354";"Dom - Dom";"06:00 - 23:00";"NO";"SIN ANTELACION";"Activo";NA;4,7022085;-74,0419897;17
